"GEO_ID","NAME","B25008_001E","B25008_001M","B25008_002E","B25008_002M","B25008_003E","B25008_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US060371066423","Block Group 3, Census Tract 1066.42, Los Angeles County, California","948","334","877","336","71","94",
"1500000US060371066431","Block Group 1, Census Tract 1066.43, Los Angeles County, California","2404","550","2285","545","119","116",
"1500000US060371066432","Block Group 2, Census Tract 1066.43, Los Angeles County, California","821","327","689","303","132","170",
"1500000US060371066433","Block Group 3, Census Tract 1066.43, Los Angeles County, California","1200","697","1070","727","130","118",
"1500000US060371066451","Block Group 1, Census Tract 1066.45, Los Angeles County, California","1250","298","1166","280","84","136",
"1500000US060371066452","Block Group 2, Census Tract 1066.45, Los Angeles County, California","2611","649","2399","679","212","193",
"1500000US060371066461","Block Group 1, Census Tract 1066.46, Los Angeles County, California","1809","246","1546","231","263","179",
"1500000US060371066462","Block Group 2, Census Tract 1066.46, Los Angeles County, California","1049","225","1026","225","23","32",
"1500000US060371066481","Block Group 1, Census Tract 1066.48, Los Angeles County, California","3467","533","2226","598","1241","471",
"1500000US060371066482","Block Group 2, Census Tract 1066.48, Los Angeles County, California","1103","381","0","13","1103","381",
"1500000US060371066491","Block Group 1, Census Tract 1066.49, Los Angeles County, California","1360","663","1213","669","147","106",
"1500000US060371066492","Block Group 2, Census Tract 1066.49, Los Angeles County, California","1456","241","1148","246","308","127",
"1500000US060371070101","Block Group 1, Census Tract 1070.10, Los Angeles County, California","1905","421","1398","310","507","319",
"1500000US060371070102","Block Group 2, Census Tract 1070.10, Los Angeles County, California","1173","284","927","244","246","172",
"1500000US060371070201","Block Group 1, Census Tract 1070.20, Los Angeles County, California","1601","596","1060","605","541","297",
"1500000US060371070202","Block Group 2, Census Tract 1070.20, Los Angeles County, California","569","249","420","218","149","145",
"1500000US060371070203","Block Group 3, Census Tract 1070.20, Los Angeles County, California","2228","1124","1380","482","848","1078",
"1500000US060371070204","Block Group 4, Census Tract 1070.20, Los Angeles County, California","932","363","814","366","118","148",
"1500000US060371081011","Block Group 1, Census Tract 1081.01, Los Angeles County, California","2316","296","1979","364","337","190",
"1500000US060371081021","Block Group 1, Census Tract 1081.02, Los Angeles County, California","1103","382","828","346","275","185",
"1500000US060371081022","Block Group 2, Census Tract 1081.02, Los Angeles County, California","1061","317","1010","318","51","48",
"1500000US060371081023","Block Group 3, Census Tract 1081.02, Los Angeles County, California","1263","276","1203","275","60","89",
"1500000US060371081031","Block Group 1, Census Tract 1081.03, Los Angeles County, California","1758","411","1595","435","163","155",
"1500000US060371081032","Block Group 2, Census Tract 1081.03, Los Angeles County, California","1306","413","1137","371","169","220",
"1500000US060371081041","Block Group 1, Census Tract 1081.04, Los Angeles County, California","1756","403","1503","408","253","189",
"1500000US060371082021","Block Group 1, Census Tract 1082.02, Los Angeles County, California","2507","520","1285","351","1222","411",
"1500000US060371082022","Block Group 2, Census Tract 1082.02, Los Angeles County, California","2562","607","2483","611","79","103",
"1500000US060371082023","Block Group 3, Census Tract 1082.02, Los Angeles County, California","3707","1355","2797","564","910","1316",
"1500000US060371082031","Block Group 1, Census Tract 1082.03, Los Angeles County, California","2167","231","1312","300","855","302",
"1500000US060371082032","Block Group 2, Census Tract 1082.03, Los Angeles County, California","1134","269","929","264","205","158",
"1500000US060371082041","Block Group 1, Census Tract 1082.04, Los Angeles County, California","1831","347","1734","356","97","79",
"1500000US060371091001","Block Group 1, Census Tract 1091, Los Angeles County, California","1085","295","953","309","132","104",
"1500000US060371091002","Block Group 2, Census Tract 1091, Los Angeles County, California","1245","220","884","225","361","189",
"1500000US060371092001","Block Group 1, Census Tract 1092, Los Angeles County, California","1139","364","1131","367","8","12",
"1500000US060371092002","Block Group 2, Census Tract 1092, Los Angeles County, California","1228","380","1017","355","211","154",
"1500000US060371092003","Block Group 3, Census Tract 1092, Los Angeles County, California","485","212","303","152","182","117",
"1500000US060371093001","Block Group 1, Census Tract 1093, Los Angeles County, California","801","275","666","277","135","78",
"1500000US060371093002","Block Group 2, Census Tract 1093, Los Angeles County, California","1197","224","1061","203","136","103",
"1500000US060371093003","Block Group 3, Census Tract 1093, Los Angeles County, California","815","171","737","176","78","79",
"1500000US060371094001","Block Group 1, Census Tract 1094, Los Angeles County, California","1171","491","1035","441","136","213",
"1500000US060371094002","Block Group 2, Census Tract 1094, Los Angeles County, California","1998","732","1076","595","922","867",
"1500000US060371094003","Block Group 3, Census Tract 1094, Los Angeles County, California","1110","386","835","346","275","233",
"1500000US060371095001","Block Group 1, Census Tract 1095, Los Angeles County, California","843","363","525","250","318","270",
"1500000US060371095002","Block Group 2, Census Tract 1095, Los Angeles County, California","2093","527","1354","430","739","470",
"1500000US060371095003","Block Group 3, Census Tract 1095, Los Angeles County, California","1290","699","851","583","439","427",
"1500000US060371096011","Block Group 1, Census Tract 1096.01, Los Angeles County, California","981","373","981","373","0","13",
"1500000US060371096012","Block Group 2, Census Tract 1096.01, Los Angeles County, California","1303","511","1303","511","0","13",
"1500000US060371096013","Block Group 3, Census Tract 1096.01, Los Angeles County, California","952","484","895","475","57","89",
"1500000US060371096014","Block Group 4, Census Tract 1096.01, Los Angeles County, California","1602","411","1093","384","509","394",
"1500000US060371096031","Block Group 1, Census Tract 1096.03, Los Angeles County, California","877","243","724","225","153","119",
"1500000US060371096032","Block Group 2, Census Tract 1096.03, Los Angeles County, California","1128","385","689","333","439","218",
"1500000US060371096033","Block Group 3, Census Tract 1096.03, Los Angeles County, California","2224","901","1349","869","875","393",
"1500000US060371096041","Block Group 1, Census Tract 1096.04, Los Angeles County, California","757","251","524","230","233","117",
"1500000US060371096042","Block Group 2, Census Tract 1096.04, Los Angeles County, California","796","184","705","198","91","83",
"1500000US060371096043","Block Group 3, Census Tract 1096.04, Los Angeles County, California","1259","278","1140","274","119","111",
"1500000US060371097001","Block Group 1, Census Tract 1097, Los Angeles County, California","1892","472","1496","397","396","342",
"1500000US060371097002","Block Group 2, Census Tract 1097, Los Angeles County, California","1697","382","988","378","709","301",
"1500000US060371097003","Block Group 3, Census Tract 1097, Los Angeles County, California","843","326","795","332","48","76",
"1500000US060371098001","Block Group 1, Census Tract 1098, Los Angeles County, California","1716","437","1410","433","306","231",
"1500000US060371098002","Block Group 2, Census Tract 1098, Los Angeles County, California","1030","399","877","396","153","136",
"1500000US060371098003","Block Group 3, Census Tract 1098, Los Angeles County, California","955","325","597","259","358","194",
"1500000US060371098004","Block Group 4, Census Tract 1098, Los Angeles County, California","1017","678","544","379","473","556",
"1500000US060371111001","Block Group 1, Census Tract 1111, Los Angeles County, California","1071","263","691","156","380","254",
"1500000US060371111002","Block Group 2, Census Tract 1111, Los Angeles County, California","1954","326","1206","302","748","235",
"1500000US060371112011","Block Group 1, Census Tract 1112.01, Los Angeles County, California","1110","329","945","322","165","166",
"1500000US060371112012","Block Group 2, Census Tract 1112.01, Los Angeles County, California","1710","686","1570","687","140","146",
"1500000US060371112013","Block Group 3, Census Tract 1112.01, Los Angeles County, California","633","205","610","208","23","27",
"1500000US060371112021","Block Group 1, Census Tract 1112.02, Los Angeles County, California","1320","834","399","156","921","894",
"1500000US060371112022","Block Group 2, Census Tract 1112.02, Los Angeles County, California","1606","563","1119","551","487","260",
"1500000US060371112023","Block Group 3, Census Tract 1112.02, Los Angeles County, California","2687","640","1798","569","889","388",
"1500000US060371112041","Block Group 1, Census Tract 1112.04, Los Angeles County, California","2290","404","2211","386","79","127",
"1500000US060371112042","Block Group 2, Census Tract 1112.04, Los Angeles County, California","1865","527","1318","221","547","519",
"1500000US060371112043","Block Group 3, Census Tract 1112.04, Los Angeles County, California","1450","319","1328","313","122","97",
"1500000US060371112051","Block Group 1, Census Tract 1112.05, Los Angeles County, California","1338","284","1084","283","254","173",
"1500000US060371112052","Block Group 2, Census Tract 1112.05, Los Angeles County, California","731","253","216","157","515","236",
"1500000US060371112053","Block Group 3, Census Tract 1112.05, Los Angeles County, California","1692","877","398","159","1294","887",
"1500000US060371112061","Block Group 1, Census Tract 1112.06, Los Angeles County, California","1282","325","1146","327","136","183",
"1500000US060371112062","Block Group 2, Census Tract 1112.06, Los Angeles County, California","691","226","627","225","64","94",
"1500000US060371112063","Block Group 3, Census Tract 1112.06, Los Angeles County, California","728","337","728","337","0","13",
"1500000US060371112064","Block Group 4, Census Tract 1112.06, Los Angeles County, California","769","232","717","227","52","61",
"1500000US060371112065","Block Group 5, Census Tract 1112.06, Los Angeles County, California","833","210","820","210","13","20",
"1500000US060371113021","Block Group 1, Census Tract 1113.02, Los Angeles County, California","1238","324","938","242","300","236",
"1500000US060371113022","Block Group 2, Census Tract 1113.02, Los Angeles County, California","1170","286","557","179","613","263",
"1500000US060371113023","Block Group 3, Census Tract 1113.02, Los Angeles County, California","928","301","635","269","293","226",
"1500000US060371113024","Block Group 4, Census Tract 1113.02, Los Angeles County, California","1373","445","51","44","1322","442",
"1500000US060371113031","Block Group 1, Census Tract 1113.03, Los Angeles County, California","2071","535","569","328","1502","601",
"1500000US060371113032","Block Group 2, Census Tract 1113.03, Los Angeles County, California","2814","509","2203","525","611","319",
"1500000US060371113041","Block Group 1, Census Tract 1113.04, Los Angeles County, California","1339","361","144","147","1195","352",
"1500000US060371113042","Block Group 2, Census Tract 1113.04, Los Angeles County, California","1648","539","0","13","1648","539",
"1500000US060371114011","Block Group 1, Census Tract 1114.01, Los Angeles County, California","2252","347","1612","539","640","335",
"1500000US060371114021","Block Group 1, Census Tract 1114.02, Los Angeles County, California","2648","776","24","40","2624","772",
"1500000US060371114022","Block Group 2, Census Tract 1114.02, Los Angeles County, California","1844","697","1110","470","734","539",
"1500000US060371114023","Block Group 3, Census Tract 1114.02, Los Angeles County, California","1664","778","86","81","1578","782",
"1500000US060371131011","Block Group 1, Census Tract 1131.01, Los Angeles County, California","1548","428","1455","447","93","76",
"1500000US060371131012","Block Group 2, Census Tract 1131.01, Los Angeles County, California","1863","347","1499","311","364","282",
"1500000US060371131021","Block Group 1, Census Tract 1131.02, Los Angeles County, California","1332","287","1266","285","66","73",
"1500000US060371131022","Block Group 2, Census Tract 1131.02, Los Angeles County, California","1365","258","1249","254","116","94",
"1500000US060371132111","Block Group 1, Census Tract 1132.11, Los Angeles County, California","2003","328","1694","334","309","165",
"1500000US060371132112","Block Group 2, Census Tract 1132.11, Los Angeles County, California","2078","603","1319","356","759","547",
"1500000US060371132121","Block Group 1, Census Tract 1132.12, Los Angeles County, California","970","254","814","231","156","169",
"1500000US060371132122","Block Group 2, Census Tract 1132.12, Los Angeles County, California","2087","534","631","244","1456","615",
"1500000US060371132131","Block Group 1, Census Tract 1132.13, Los Angeles County, California","3460","712","2876","684","584","381",
"1500000US060371132132","Block Group 2, Census Tract 1132.13, Los Angeles County, California","1597","315","668","297","929","279",
"1500000US060371132311","Block Group 1, Census Tract 1132.31, Los Angeles County, California","847","220","744","211","103","71",
"1500000US060371132312","Block Group 2, Census Tract 1132.31, Los Angeles County, California","1383","225","1149","210","234","156",
"1500000US060371132321","Block Group 1, Census Tract 1132.32, Los Angeles County, California","3186","584","2364","517","822","416",
"1500000US060371132322","Block Group 2, Census Tract 1132.32, Los Angeles County, California","1588","357","1293","354","295","192",
"1500000US060371132341","Block Group 1, Census Tract 1132.34, Los Angeles County, California","1088","290","554","201","534","217",
"1500000US060371132342","Block Group 2, Census Tract 1132.34, Los Angeles County, California","1006","271","856","263","150","134",
"1500000US060371132343","Block Group 3, Census Tract 1132.34, Los Angeles County, California","2314","1247","56","57","2258","1246",
"1500000US060371132344","Block Group 4, Census Tract 1132.34, Los Angeles County, California","883","250","104","61","779","253",
"1500000US060371132351","Block Group 1, Census Tract 1132.35, Los Angeles County, California","1680","335","1080","339","600","161",
"1500000US060371132371","Block Group 1, Census Tract 1132.37, Los Angeles County, California","3394","710","2470","804","924","537",
"1500000US060371132372","Block Group 2, Census Tract 1132.37, Los Angeles County, California","1729","663","1224","633","505","237",
"1500000US060371132381","Block Group 1, Census Tract 1132.38, Los Angeles County, California","1381","475","275","215","1106","493",
"1500000US060371132382","Block Group 2, Census Tract 1132.38, Los Angeles County, California","2148","557","400","632","1748","581",
"1500000US060371132383","Block Group 3, Census Tract 1132.38, Los Angeles County, California","636","299","479","314","157","175",
"1500000US060371132391","Block Group 1, Census Tract 1132.39, Los Angeles County, California","916","401","374","173","542","485",
"1500000US060371132392","Block Group 2, Census Tract 1132.39, Los Angeles County, California","1438","603","45","79","1393","655",
